serial_no,action,price,positions
2887,short,10310.74605214572,-1
2888,buy,10314.458170117843,0
2889,short,10322.056350365749,-1
2890,buy,10356.016910754975,0
2891,short,10329.470008468285,-1
2892,buy,10480.661572691508,0
2893,stay,10429.601759978616,0
2894,short,10464.280243818806,-1
2895,stay,10691.397768587063,-1
2896,stay,10583.101266347618,-1
2897,buy,10551.617945472084,0
2898,short,10601.02208728763,-1
2899,buy,10419.248035588347,0
2900,short,10505.416292987617,-1
2901,buy,10412.58915809622,0
2902,short,10429.44885473737,-1
2903,stay,10447.953015503132,-1
2904,stay,10440.205113895605,-1
2905,stay,10366.56200171476,-1
2906,stay,10276.976246751308,-1
2907,buy,10350.890288590392,0
2909,stay,10075.035337581136,0
2910,stay,10186.942220446614,0
2911,short,10146.245307918009,-1
2912,stay,10113.622623761874,-1
2913,stay,10276.492814735517,-1
2914,stay,10210.806343082835,-1
2915,buy,10035.639889240912,0
2916,stay,9996.634402888722,0
2917,buy,10036.59875626994,1
2918,stay,10001.618597974291,1
2919,sell,9862.1507889094,0
2920,short,9988.157988838258,-1
2921,stay,9965.714094497647,-1
2922,stay,10053.228356944575,-1
2923,buy,10248.275203441626,0
2925,short,10265.066233896106,-1
2926,buy,10436.663638401593,0
2927,stay,10490.961705635147,0
2928,short,10574.627069716864,-1
2929,stay,10644.426347472703,-1
2930,buy,10645.39831240252,0
2931,short,10714.030477480112,-1
2932,stay,10823.407339531184,-1
2933,buy,11036.727194693933,0
2935,short,11321.51945959985,-1
2936,stay,11215.612034839993,-1
2937,stay,11246.640162817628,-1
2938,stay,11344.71423713726,-1
2939,stay,11346.620672777204,-1
2940,stay,11270.723128057243,-1
2941,stay,11293.055448283809,-1
2942,buy,11452.95563593001,0
2943,buy,11166.925172135094,1
2944,sell,11006.899991778544,0
2945,buy,11115.359043832212,1
2946,sell,11072.248392848292,0
2948,short,11128.81503972994,-1
2949,buy,11001.903120121073,0
2950,stay,10926.529454504578,0
2951,short,10805.77416890798,-1
2952,buy,10882.87251968687,0
2953,short,10737.590194959192,-1
2954,stay,10763.792101054376,-1
2955,stay,10791.619173496018,-1
2956,buy,10782.81141236405,0
2957,short,10798.33951225099,-1
2958,buy,10795.880850687849,0
2959,stay,10757.456318961324,0
2960,short,10598.613928348565,-1
2961,stay,10626.64869325267,-1
2962,buy,10657.340809252768,0
2963,short,10680.1057858621,-1
2964,buy,10662.109678762376,0
2966,short,10537.20374913234,-1
2967,stay,10508.208814859963,-1
2968,stay,10555.227993651772,-1
2969,buy,10602.514790463534,0
2970,buy,10623.870727960011,1
2971,sell,10496.18313850526,0
2972,stay,10548.281607139676,0
2973,short,10394.48064280704,-1
2974,buy,10307.21107443656,0
2976,buy,10436.81170530086,1
2977,sell,10272.97818422986,0
2978,short,10211.051344824862,-1
2979,buy,10191.59758311361,0
2980,short,10177.033235776791,-1
2981,buy,10070.594481267037,0
2982,short,9940.182201377556,-1
2983,stay,10031.794650310088,-1
2984,stay,9825.17264984748,-1
